Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Covers.csproj,File,Covers.csproj,,,Microsoft.AspNetCore.SpaServices.Extensions 5.0.1,,,,,"Microsoft.AspNetCore.SpaServices.Extensions, 5.0.1  Recommendation:  Remove Microsoft.AspNetCore.SpaServices.Extensions, and replace with new package Microsoft.AspNetCore.SpaServices.Extensions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Proxies 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Proxies, 5.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Proxies, and replace with new package Microsoft.EntityFrameworkCore.Proxies 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 5.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Magick.NET-Q8-AnyCPU 7.22.3,,,,,"Magick.NET-Q8-AnyCPU, 7.22.3  Recommendation:  Magick.NET-Q8-AnyCPU, 14.10.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Microsoft.AspNetCore.SpaServices.Extensions 5.0.1,,,,,"Microsoft.AspNetCore.SpaServices.Extensions, 5.0.1  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.SpaServices.Extensions, and replace with new package Microsoft.AspNetCore.SpaServices.Extensions, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.1  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Proxies 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Proxies, 5.0.1  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Proxies, and replace with new package Microsoft.EntityFrameworkCore.Proxies, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 5.0.1  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite, 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Covers.csproj,File,Covers.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.1,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.1  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools, 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Covers.csproj,File,Covers.csproj,,,,,,,,Current target framework: net5.0 Recommended target framework: net10.0
